common vocabulary size  ,distance_between_users,user1,user2
502,0.013951931,59775972,62431316
554,0.195036124,3105386,3588387
584,0.2965892,24051675,53564354
660,0.545871712,787615,799305
676,0.55495828,3588387,4387811
651,0.561306793,13017201,61197531
683,0.566852198,3105386,4387811
683,0.574166891,2706684,2721657
690,0.615000568,799305,1711318
693,0.617856701,1184397,1711318
694,0.630104092,799305,1184397
689,0.630327863,787615,1184397
693,0.631124752,787615,1711318
705,0.635078491,21393536,25362190
704,0.645330577,787615,14415072
714,0.646037737,133226,1184397
715,0.647524092,1497561,25362190
698,0.648787868,1184397,1218609
717,0.654072338,1184397,1272651
714,0.655771948,144230,799305
699,0.656226716,902933,1218609
718,0.656286915,227353,1184397
707,0.657031973,13017201,27559289
707,0.6588084,1140297,1218609
707,0.659249998,90175,787615
715,0.661325169,20440192,25362190
715,0.661504291,144230,1184397
710,0.661777544,4783913,25362190
707,0.662192432,144230,787615
718,0.662343273,257024,799305
699,0.66252141,787615,1218609
706,0.662842906,1218609,1711318
719,0.663224649,2483880,25362190
710,0.663951469,799305,14415072
723,0.664078483,454303,1711318
719,0.664562019,7782049,25362190
726,0.664685944,1497561,21393536
726,0.664745002,27559289,61197531
727,0.665797556,1272651,1711318
710,0.66646845,724166,799305
707,0.666657369,172656,787615
713,0.666766988,133226,787615
721,0.666827473,902933,23930092
717,0.667242274,133226,799305
706,0.667377997,724166,787615
718,0.667695353,227353,799305
720,0.668365237,454303,799305
709,0.668674637,799305,1218609
715,0.670093883,90175,799305
730,0.670948492,158337,25362190
715,0.671092986,902933,1339206
724,0.67109966,1531518,25362190
706,0.671125082,1218609,1339206
721,0.671168328,902933,1711318
725,0.671684661,144230,1711318
717,0.672503832,787615,1272651
714,0.672722715,172656,1184397
730,0.673163754,257024,1711318
718,0.673294693,172656,799305
720,0.67356677,90175,1711318
729,0.674102535,20440192,21393536
727,0.674307211,799305,1272651
745,0.674360046,964315,995327
728,0.674434301,23930092,25362190
723,0.675281923,454303,787615
718,0.675316868,902933,25362190
726,0.675928545,1497561,8183133
719,0.67606042,724166,1184397
723,0.676111013,177831,25362190
731,0.676442938,1531518,21393536
733,0.676454831,1497561,23930092
717,0.676511729,1140297,25362190
719,0.677025002,1218609,1272651
725,0.677084502,5030467,25362190
734,0.677684944,390025,21393536
735,0.67807615,13017201,28164074
717,0.678103136,285606,1711318
722,0.678159769,1218609,1568320
723,0.678689254,108019,1218609
714,0.6790245,238543,1218609
720,0.679081848,8183133,25362190
716,0.679161621,1711318,14415072
725,0.679417074,257024,787615
718,0.680063818,1184397,14415072
711,0.680594353,724166,1218609
722,0.680702794,799305,1940900
728,0.680780399,902933,2535732
725,0.681699134,172656,1711318
725,0.682433419,15110667,25362190
725,0.682496494,902933,1184397
736,0.682600317,10124982,21393536
734,0.682616176,14080464,25362190
725,0.682657271,20645879,25362190
713,0.682802665,90175,1218609
736,0.683153263,22917429,25362190
724,0.683267583,1140297,8183133
730,0.683782685,787615,9114042
721,0.68382228,724166,1711318
727,0.684080141,133226,1711318
717,0.68449563,902933,1140297
750,0.684578339,27559289,28164074
729,0.685527546,1218609,1497561
730,0.685652181,1218609,2535732
736,0.685848381,19378289,23930092
727,0.686381281,1339206,1711318
730,0.686386747,19378289,25362190
732,0.686551949,177831,902933
715,0.686569241,1218609,25362190
727,0.686663304,227353,1711318
735,0.686798372,90175,144230
754,0.686818941,1160611,1758727
729,0.687273974,533966,25362190
720,0.687618771,1218609,14415072
730,0.687734412,25362190,26281817
727,0.687852364,1339206,25362190
728,0.688180072,19676866,25362190
728,0.688396769,799305,9114042
719,0.688901604,227353,787615
731,0.689429378,1711318,2570699
733,0.689569614,257024,1184397
719,0.689612375,90175,724166
731,0.689862833,2517538,25837689
726,0.690004301,799305,902933
733,0.690009302,902933,1497561
719,0.690285973,285606,799305
730,0.690411988,133226,1218609
724,0.690576205,787615,902933
727,0.690822485,352610,1711318
722,0.691123245,90175,1184397
736,0.691294378,108019,1339206
743,0.691402636,1497561,1531518
727,0.691638555,1218609,19378289
724,0.691641775,90175,902933
731,0.692205354,1184397,1339206
742,0.692266634,177831,1497561
738,0.69226887,770063,25362190
723,0.692344663,787615,1940900
740,0.692835726,1497561,2535732
731,0.692873022,902933,21393536
727,0.693044716,1140297,1497561
739,0.693190833,133226,227353
741,0.6932382,177831,19378289
739,0.693239483,133226,14415072
733,0.693753265,8183133,21393536
729,0.693923947,2535732,25362190
